date      , asset_code, price       , asset_name                    , asset_type, currency, source     , crawl_time
2026-01-30, HPG       ,     26800.0 , Hoa Phat Group                , stock     ,         , VNDirect   , 2026-02-01 15:18:44
2026-01-30, FPT       ,    104500.0 , FPT Corp                      , stock     ,         , VNDirect   , 2026-02-01 15:18:44
2026-01-30, MBB       ,     27200.0 , MB Bank                       , stock     ,         , VNDirect   , 2026-02-01 15:18:44
2026-01-30, SSI       ,     31150.0 , SSI Securities                , stock     ,         , VNDirect   , 2026-02-01 15:18:44
2026-01-30, POW       ,     13750.0 , PV Power                      , stock     ,         , VNDirect   , 2026-02-01 15:18:44
2026-01-30, VCG       ,     19150.0 , Vinaconex                     , stock     ,         , VNDirect   , 2026-02-01 15:18:44
2026-01-30, DGC       ,     68600.0 , Duc Giang Chemicals           , stock     ,         , VNDirect   , 2026-02-01 15:18:44
2026-01-30, VND       ,     18500.0 , VNDirect                      , stock     ,         , VNDirect   , 2026-02-01 15:18:44
2026-01-30, VTP       ,    111200.0 , Viettel Post                  , stock     ,         , VNDirect   , 2026-02-01 15:18:44
2026-01-30, FUEVFVND  ,     40300.0 , DCVFM VNDiamond ETF           , etf       ,         , VNDirect   , 2026-02-01 15:18:44
2026-01-30, E1VFVN30  ,     35910.0 , DCVFM VN30 ETF                , etf       ,         , VNDirect   , 2026-02-01 15:18:44
2026-01-30, FUESSVFL  ,     31170.0 , SSI VNFin Lead ETF            , etf       ,         , VNDirect   , 2026-02-01 15:18:44
2026-02-01, VDEF      ,     12650.75, VinaCapital Defensive         , fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, VMEEF     ,     18015.86, VinaCapital Modern Economy    , fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, VLGF      ,     14180.21, VinaCapital Liquidity Bond    , fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, VCBFMGF   ,     15340.12, VCBF Midcap Growth            , fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, VCBFBCF   ,     46680.32, VCBF Blue Chip                , fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, VCBFFIF   ,     15464.77, VCBF Fixed Income             , fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, VCBFTBF   ,     40086.56, VCBF Tactical Balanced        , fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, VESAF     ,     36332.57, VinaCapital Equity Special    , fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, VIBF      ,     20421.94, VinaCapital Insight Balanced  , fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, VFF       ,     25656.9 , VinaCapital Fixed Income      , fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, VEOF      ,     37885.21, VinaCapital Equity Opportunity, fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, DCBF      ,     29115.26, Dragon Capital Bond           , fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, DCDE      ,     32226.18, Dragon Capital Dividend       , fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, DCDS      ,    108628.58, Dragon Capital Dynamic        , fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, SSIBF     ,     16523.49, SSI Bond Fund                 , fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, SSISCA    ,     48005.27, SSI Sustainable Competitive   , fund      ,         , Fmarket    , 2026-02-01 15:18:44
2026-02-01, VCBFAIF   ,     12216.12, VCBF Tactical / Aggressive    , fund      ,         , Fmarket    , 2026-02-01 15:18:44
